factory_id,line_id,current_units,optimized_units,current_oee_weight,optimized_oee_weight,current_weighted_oee,optimized_weighted_oee,change_units,change_percent
A,L1,1110742.0,1221816.2,1036237.0942,1139174.7318,0.9329,0.9324,111074.2,0.1
A,L2,1038738.0,1142611.8,926942.9062,1018811.4879,0.8924,0.8917,103873.8,0.1
B,L1,988409.0,1087249.9,837419.2816,923719.3593,0.8472,0.8496,98840.9,0.1
B,L2,930146.0,744116.8,717321.8176,573857.4541,0.7712,0.7712,-186029.2,-0.2
B,L3,960073.0,1013341.1,808224.5048,853669.4868,0.8418,0.8424,53268.1,0.0555
B,L4,905139.0,724111.2,690970.96,552776.768,0.7634,0.7634,-181027.8,-0.2
